                      sourcefile                        sourceline                class                         method_id           memsize  count
<RUBYLIBDIR>/benchmark.rb                                      488  String                              gsub!                           129    102
<RUBYLIBDIR>/benchmark.rb                                      500  Array                               to_s                              0    101
<PWD>/crawler.rb                                               146  String                              write                           129    101
runner.rb                                                       25  Range                               run_in_batches                    0    101
<RUBYLIBDIR>/benchmark.rb                                      281  Benchmark::Tms                      new                              56    101
<RUBYLIBDIR>/benchmark.rb                                      492  MatchData                           gsub!                           240    101
<PWD>/crawler.rb                                               141  String                              basename                          0    101
<PWD>/crawler.rb                                               141  Array                               run                               0    101
runner.rb                                                       23  String                              run_in_batches                    0    101
<PWD>/crawler.rb                                               155  String                              basename                          0    101
<PWD>/crawler.rb                                               155  Array                               run                               0    101
<RUBYLIBDIR>/benchmark.rb                                      488  MatchData                           gsub!                           240    101
runner.rb                                                       25  Array                               []                                0    101
<PWD>/crawler.rb                                               143  String                              basename                          0    101
<PWD>/crawler.rb                                               143  Array                               run                              32    101
<RUBYLIBDIR>/benchmark.rb                                      485  String                              dup                               0    101
<PWD>/crawler.rb                                               144  String                              basename                          0    101
<PWD>/crawler.rb                                               144  Array                               run                               0    101
runner.rb                                                       30  String                              run_in_batches                    0    101
runner.rb                                                       30  String                              write                            99    101
<RUBYLIBDIR>/benchmark.rb                                      277  String                              measure                           0    101
<RUBYLIBDIR>/benchmark.rb                                      280  Process::Tms                        times                            32    101
<RUBYLIBDIR>/benchmark.rb                                      280  Time                                now                              88    101
<RUBYLIBDIR>/benchmark.rb                                      278  Process::Tms                        times                            32    101
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/runnable.rb             17  Array                               pop                               0    101
<PWD>/crawler.rb                                               181  Array                               run_parallel_strategy             0    101
<PWD>/crawler.rb                                               181  String                              basename                          0    101
<RUBYLIBDIR>/benchmark.rb                                      487  String                              gsub!                            29    101
<RUBYLIBDIR>/benchmark.rb                                      278  Time                                now                              88    101
<PWD>/crawler.rb                                               147  String                              run                               0    101
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/runnable.rb             17  Array                               map                             160    100
runner.rb                                                       23  String                              write                            99    100
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  FFI::Function                       easy_setopt_callback              0     40
<GEM:ethon-0.6.1>/lib/ethon/easy/operations.rb                  13  FFI::AutoPointer                    new                             192     20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   37  Proc                                proc                            264     20
<GEM:ethon-0.6.1>/lib/ethon/easy/operations.rb                  13  FFI::Pointer                        easy_init                         0     20
<GEM:ethon-0.6.1>/lib/ethon/easy/operations.rb                  13  Method                              method                           48     20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   37  RubyVM::Env                         proc                             88     20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   50  RubyVM::Env                         proc                             88     20
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  FFI::Function                       easy_setopt_debug_callback        0     20
<GEM:ethon-0.6.1>/lib/ethon/easy.rb                            216  Hash                                initialize                        0     20
<PWD>/helpers/reader.rb                                         21  String                              strip                            80     20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   64  RubyVM::Env                         proc                             88     20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   64  Proc                                proc                            264     20
<GEM:ethon-0.6.1>/lib/ethon/easy/callbacks.rb                   50  Proc                                proc                            264     20
<GEM:typhoeus-0.6.6>/lib/typhoeus/pool.rb                       32  Ethon::Easy                         new                             112     19
<PWD>/crawler.rb                                                21  String                              initialize                        0      2
<PWD>/helpers/reader.rb                                         13  String                              open                              0      2
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  Method                              method                           48      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  FFI::AutoPointer                    new                             192      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 16  FFI::Pointer                        multi_init                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/stack.rb                      14  Array                               easy_handles                    128      1
<RUBYLIBDIR>/logger.rb                                         545  Logger::LogDevice::LogDeviceMutex   new                               0      1
<RUBYLIBDIR>/logger.rb                                         545  Array                               new                               0      1
<RUBYLIBDIR>/monitor.rb                                        241  Mutex                               new                             120      1
<GEM:ethon-0.6.1>/lib/ethon/curl.rb                             62  String                              init                              0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 26  FFI::MemoryPointer                  new                               0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 27  Ethon::Curl::Timeval                new                               0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 27  Array                               initialize                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 27  FFI::MemoryPointer                  initialize                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  Ethon::Curl::FDSet                  new                               0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  Array                               initialize                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 28  FFI::MemoryPointer                  initialize                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 29  Ethon::Curl::FDSet                  new                               0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 29  Array                               initialize                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 29  FFI::MemoryPointer                  initialize                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  Ethon::Curl::FDSet                  new                               0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  Array                               initialize                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 30  FFI::MemoryPointer                  initialize                        0      1
<GEM:ethon-0.6.1>/lib/ethon/multi/operations.rb                 31  FFI::MemoryPointer                  new                               0      1
<PWD>/crawler.rb                                                28  Hash                                initialize                        0      1
<RUBYLIBDIR>/logger.rb                                         318  Logger::LogDevice                   new                              40      1
<PWD>/helpers/reader.rb                                         13  String                              basename                          0      1
<PWD>/helpers/reader.rb                                         13  Array                               open                             32      1
<PWD>/helpers/reader.rb                                         14  File                                open                           8408      1
<PWD>/helpers/reader.rb                                         14  String                              initialize                        0      1
<PWD>/helpers/reader.rb                                         19  Array                               readlines                    302672      1
<PWD>/overrides/typhoeus.rb                                      7  Array                               processing_requests           89672      1
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     149  FFI::MemoryPointer                  new                               0      1
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     169  FFI::MemoryPointer                  new                               0      1
<GEM:ethon-0.6.1>/lib/ethon/curls/infos.rb                     159  FFI::MemoryPointer                  new                               0      1
<RUBYLIBDIR>/logger.rb                                         318  Hash                                initialize                      192      1
<RUBYLIBDIR>/logger.rb                                         314  Logger::Formatter                   new                               0      1
<GEM:ethon-0.6.1>/lib/ethon/loggable.rb                         42  Logger                              new                              40      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                      92  Ethon::Multi                        new                              80      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra.rb                      92  Hash                                reject                            0      1
<GEM:typhoeus-0.6.6>/lib/typhoeus.rb                            98  Array                               before                            0      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/expectation.rb                61  Array                               all                               0      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/memoizable.rb           21  Hash                                memory                            0      1
<PWD>/crawler.rb                                                23  Typhoeus::Hydra                     new                              56      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/pool.rb                       55  Array                               easies                          264      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/pool.rb                       32  Ethon::Easy                         new                             136      1
<PWD>/crawler.rb                                                23  Hash                                core#hash_from_ary              192      1
<PWD>/helpers/writer.rb                                          9  DebugHelper                         new                               0      1
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  Thread                              easy_setopt_callback        1049768      1
<GEM:ethon-0.6.1>/lib/ethon/curls/options.rb                    79  Hash                                easy_setopt_callback              0      1
<PWD>/crawler.rb                                                21  Writer                              new                               0      1
<PWD>/crawler.rb                                                21  Hash                                initialize                      192      1
<PWD>/helpers/reader.rb                                          9  DebugHelper                         new                               0      1
<PWD>/helpers/reader.rb                                          8  String                              initialize                        0      1
<PWD>/crawler.rb                                                17  Reader                              new                              40      1
<PWD>/crawler.rb                                                17  Hash                                initialize                      192      1
<PWD>/crawler.rb                                                17  String                              initialize                        0      1
<PWD>/crawler.rb                                                15  DebugHelper                         new                               0      1
<PWD>/crawler.rb                                                 9  Hash                                initialize                      192      1
<PWD>/crawler.rb                                                12  Hash                                initialize                      192      1
<PWD>/crawler.rb                                                12  String                              initialize                        0      1
<RUBYLIBDIR>/benchmark.rb                                      490  String                              gsub!                           129      1
<RUBYLIBDIR>/benchmark.rb                                      489  String                              gsub!                           129      1
<PWD>/crawler.rb                                                11  Hash                                initialize                      192      1
<PWD>/crawler.rb                                                11  String                              initialize                        0      1
<PWD>/crawler.rb                                                 9  String                              initialize                        0      1
runner.rb                                                        8  YelpSync                            new                              56      1
runner.rb                                                        8  Hash                                initialize                      192      1
runner.rb                                                       43  Runner                              new                              40      1
runner.rb                                                       43  Hash                                                                192      1
runner.rb                                                       43  String                                                                0      1
<PWD>/helpers/reader.rb                                         20  Array                               map                               0      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/queueable.rb            17  Array                               queued_requests                   0      1
<RUBYLIBDIR>/benchmark.rb                                      487  String                              gsub!                           129      1
<RUBYLIBDIR>/benchmark.rb                                      486  String                              gsub!                           129      1
runner.rb                                                       23  String                              write                            49      1
runner.rb                                                       13  Array                               []                                0      1
<PWD>/crawler.rb                                               146  Hash                                puts                            192      1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/runnable.rb             17  Array                               map                               0      1
