                        sourcefile                                                  class                          count
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node_set.rb            Proc                                                  11376
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node_set.rb            RubyVM::Env                                           11376
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node_set.rb            Array                                                  5688
(eval)                                                       String                                                    2
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node.rb                Nokogiri::XML::Text                                   17578
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node.rb                Proc                                                   8789
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node.rb                RubyVM::Env                                            8789
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document_fragment.rb  Nokogiri::XML::NodeSet                                17578
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document_fragment.rb  Array                                                 17578
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node_set.rb            Nokogiri::XML::Text                                    8789
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document_fragment.rb  Proc                                                   8789
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document_fragment.rb  RubyVM::Env                                            8789
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node.rb                Nokogiri::XML::ParseOptions                            8789
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document_fragment.rb  String                                                 8789
<GEM:nokogiri-1.6.1>/lib/nokogiri/xml/node.rb                Nokogiri::HTML::DocumentFragment                       8789
<GEM:nokogiri-1.6.1>/lib/nokogiri/html/document_fragment.rb  Hash                                                      1
<PWD>/crawler.rb                                             Regexp                                                 1874
<RUBYLIBDIR>/csv.rb                                          String                                                29533
<RUBYLIBDIR>/csv.rb                                          Array                                                  2116
<RUBYLIBDIR>/csv.rb                                          Regexp                                                   66
<RUBYLIBDIR>/csv.rb                                          Proc                                                     22
<RUBYLIBDIR>/csv.rb                                          RubyVM::Env                                              11
<RUBYLIBDIR>/csv.rb                                          StringIO                                                 11
<RUBYLIBDIR>/csv.rb                                          Hash                                                     33
<RUBYLIBDIR>/csv.rb                                          CSV                                                      11
<PWD>/helpers/writer.rb                                      Array                                                  1918
<PWD>/helpers/writer.rb                                      String                                                   55
<PWD>/helpers/writer.rb                                      File                                                     11
<RUBYLIBDIR>/csv.rb                                          Method                                                   22
<RUBYLIBDIR>/csv.rb                                          MatchData                                                22
<RUBYLIBDIR>/benchmark.rb                                    MatchData                                                 6
<RUBYLIBDIR>/benchmark.rb                                    Array                                                     1
<RUBYLIBDIR>/benchmark.rb                                    Benchmark::Tms                                            1
<GEM:typhoeus-0.6.6>/lib/typhoeus/hydra/memoizable.rb        Hash                                                      1
